title,goals,movementcluster,time_period,country,location,location_desc,pcs,methods_1,methods_2,methods_3,methods_4,methods_5,methods_6,methods_addl,segment_length,leaders,partners,allies,social_elites,opponents,opp_nvresponses,campaigner_violence,repressive_violence,cluster,classification,group,groups_1,groups_2,groups_3,groups_4,groups_5,groups_6,success_goal,success_survival,success_growth,success_total,success_notes,url
"African Americans march for civil rights in St. Augustine, Florida, 1963-64","Formation of a biracial city commission in St. Augustine government to address racial discrimination, End segregation of public institutions, Allow the hiring of African American city workers, policemen, and firemen, Drop charges against activists who had been arrested for nonviolent action during the campaign",U.S. Civil Rights Movement (1950s-1960s),,['United States'],"St. Augustine, FL",,['(Mainly or Initiated by) People of Color'],"['005. Declarations of indictment and intention', '015. Group lobbying', '016. Picketing']","['016. Picketing', '162. Sit-in']",['038. Marches'],['015. Group lobbying'],"['002. Letters of opposition or support', '038. Marches', '162. Sit-in', '175. Overloading of facilities']","['001. Public speeches', '016. Picketing', '038. Marches', '165. Wade-in']",,about 2 months,"Dr. Robert B. Hayling, Rev. Goldie Eubanks","Dr. Martin Luther King, Jr, Mrs. Mary Peabody, Southern Christian Leadership Conference",,"Lyndon B. Johnson, Jackie Robinson, wives of prominent Episcopal Bishops",St. Augustine City government,,,"beatings, shootings, destruction of activist possessions (car and home), death threats","['Democracy', 'Human Rights']",['Change'],"['students', 'community members', 'African American leaders']",,,,"['Southern Christian Leadership Conference', 'Dr. Martin Luther King Jr.']",,['Jackie Robinson'],3 out of 6 points,1 out of 1 points,3 out of 3 points,7 out of 10 points,,https://nvdatabase.swarthmore.edu/content/african-americans-march-civil-rights-st-augustine-florida-1963-64
Florida wade-ins to end racial segregation of public beach and pools (Civil Rights Movement) 1945-1964,"To gain equal access and usage of safe public beaches and pools for African Americans.
Statement example: ""A public bathing beach for colored people in Broward County""- the Negro Professional and Business Men's League, Inc., May 14th 1946.",U.S. Civil Rights Movement (1950s-1960s),"May, 1945 to July 2nd, 1964",['United States'],Florida,"Virginia Key Beach (Dade County), Fort Lauderdale (Broward County), Lido Beach (Sarasota), St. Augustine, Miami","['(Mainly or Initiated by) People of Color', 'Local Community or Neighborhood-level Campaign']","['003. Declarations by organizations and institutions', '006. Group or mass petitions', '165. Wade-in']",['003. Declarations by organizations and institutions'],['165. Wade-in'],['165. Wade-in'],"['011. Records, radio, and television', '165. Wade-in']",['165. Wade-in'],['175. Overloading of facilities'],About 3 years,African American community leaders (often held leadership in groups dedicated to African American advancement in Miami and Florida),"NAACP, SCLC, the local African American community","The Fort Lauderdale Hotel Association, white allies",,"Local police force, local judicial system, white separatists","Marches, speeches",Not known,"Violence by local police officers, Ku Klux Klan members, and other white bystanders/beachgoers/separatists.","['Human Rights', 'National-Ethnic Identity']",['Change'],['local African Americans'],"['local African Americans', 'the Urban League of Greater Miami', 'the Negro Service Council']","['local African Americans', 'the Fort Lauderdale Hotel Association']","['local African Americans', 'NAACP']","['local African Americans', 'NAACP']","['local African Americans', 'Southern Christian Leadership Council (SCLC) and its President Rev. Dr. Martin Luther King']","['local African Americans', 'Southern Christian Leadership Conference (SCLC)']",4 out of 6 points,0.5 out of 1 points,2 out of 3 points,6.5 out of 10 points,"Though the wade-ins were an important part of the movement that led to the banning of segregation in public spaces, the campaign itself cannot be fully accredited with the successful outcome. Instead, it worked as a small peace in nonviolent activism that worked alongside sit-ins, protests, marches, speeches, economic boycotts, and other campaigns for civil rights.",https://nvdatabase.swarthmore.edu/content/florida-wade-ins-end-racial-segregation-public-beach-and-pools-civil-rights-movement-1945-19
"Pennsylvanian Methodists campaign for reinstatement of minister, United States, 2013","To reinstate Rev. Schaefer as a minister as part of larger long term goal of promoting full rights for gay people in the United Methodist Church. 

Specifically, defend and restore credentials of pastor, Frank Schaefer, who was defrocked for performing a gay marriage as part of the advocacy movement for a change of the United Methodist Church prohibition against performing same sex marriages.",,"4 APR, 2013 to 27 OCT, 2014",['United States'],"Lebanon, Pennsylvania",Southeastern Pennsylvania,,"['002. Letters of opposition or support', '047. Assemblies of protest or support']","['001. Public speeches', '002. Letters of opposition or support', '003. Declarations by organizations and institutions', '047. Assemblies of protest or support']","['001. Public speeches', '002. Letters of opposition or support', '006. Group or mass petitions', '011. Records, radio, and television', '019. Wearing of symbols', '034. Vigils', '047. Assemblies of protest or support']","['001. Public speeches', '011. Records, radio, and television']","['001. Public speeches', '009. Leaflets, pamphlets, and books', '019. Wearing of symbols']","['001. Public speeches', '011. Records, radio, and television', '036. Performances of plays and music']",,3 months,Frank Schaefer,A group of 50 Methodist and other religious officials who publicly officiated a wedding a few weeks before the initial trial.,Matt Berryman of Reconciling Ministries Network which is a national coalition of Methodist churches supportive of gay rights. They provided advice and technical support for building support for his case.,Not known,Church bureaucracy and conservative delegates to the United Methodist Church General Conference that meets to set Church policy every 4 years.,Not known.,No campaigner violence.,No repressive violence.,['Human Rights'],"['Change', 'Defense']",['gay and lesbian rights activists'],,"['LGBT groups', 'Reconciling Ministries Network (RMN)', 'Local Lebanon PA']","['Reconciling United Methodists of the Eastern Pennsylvania Conference', 'Arch Street United Methodist Church in Philadelphia']","['California-Pacific Conference', 'Curio Theatre Company']",,,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,"Growth is based on Schaefer's transformation from progressive but non-confrontational pastor to full-time gay rights advocate with a national name recognition. He achieved his goal of preserving his credentials as a minister. Arguably he advanced the United Methodist Church closer to a gay neutral position, though it might come through a split in the Church.

His example lead 50 other clergy to do a same-sex marriage ceremony in Philadelphia in the weeks before his trial. Those people increased their commitment to the cause by taking that stand and risking consequences as well.",https://nvdatabase.swarthmore.edu/content/pennsylvanian-methodists-campaign-reinstatement-minister-united-states-2013
"Organic Farmer and Shadbush Collective protest development of natural gas well on neighboring farm, 2012-2013.","Maggie and Dale Henry, along with the Shadbush Collective, aimed to prevent development of a natural gas well on a farm one-mile from the Henry property.",,"10 November, 2012 to 27 January, 2013",['United States'],"Lawrence County, Pennsylvania","rural farmland in western Pennsylvania, outside of Pittsburgh",['Local Community or Neighborhood-level Campaign'],"['016. Picketing', '050. Teach-ins', '172. Nonviolent obstruction']",,,,,"['172. Nonviolent obstruction', 'Other...']",,2 weeks,"Maggie Henry, Shadbush Collective",Not Known,Pittsburgh University Environmental Law Center,Not Known,Shell,not known,not known,not known,['Environment'],['Defense'],['Organic Farmer and Pittsburgh-based Environmental Activists'],,,,,,,1 out of 6 points,0.5 out of 1 points,1 out of 3 points,2.5 out of 10 points,"While Maggie Henry has remained active in natural gas protest demonstrations throughout Pennsylvania, no further actions specifically against the Kephart well are known.  As of May 2014, it appears that Shell continues to operate the Kephart well site.  This specific campaign did receive national media coverage.",https://nvdatabase.swarthmore.edu/content/organic-farmer-and-shadbush-collective-protest-development-natural-gas-well-neighboring-farm
"Lehigh University students pursue a Living Wage, increased appreciation for campus workers, 2005",To increase appreciation for university employees and to promote a living wage on campus,Student Living Wage Movement (late 1990s - mid 2000s),"September, 2005 to 4 September, 2006",['United States'],"Bethlehem, Pennsylvania",Campus of Lehigh University,['(Mainly or Initiated by) Student Participants'],['003. Declarations by organizations and institutions'],['021. Delivering symbolic objects'],"['010. Newspapers and journals', '021. Delivering symbolic objects']",,,"['009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support']",,approximately 2 months,"Lehigh's Progressive Student Alliance, Lehigh Workers Appreciation Council, Alexi Cherney, Liz Roth",not known,Dawn Liberto (organizer for the United Students Against Sweatshops),not known,"Lehigh University administrators, Sodexho, One Source, Brickman",not known,not known,not known,['Economic Justice'],['Change'],['students (graduates and undergraduates)'],['students (graduates and undergraduates)'],,,,,,1 out of 6 points,0 out of 1 points,1 out of 3 points,2 out of 10 points,"The worker appreciation campaign did not continue openly past Labor Day, early September 2006. It is possible that the contracts had since been renegotiated, but this information would not be publicly revealed.",https://nvdatabase.swarthmore.edu/content/lehigh-university-students-pursue-living-wage-increased-appreciation-campus-workers-2005
"Syracuse University workers strike for pay equity and job security, 1998","SEIU Local 200A demanded that Syracuse University agree to a contract that included: an end to the practice of replacing full-time workers with temporary hires who are paid minimum-wage and receive no benefits; pay equity for low-paid library workers, nearly all of whom were women; and an end to the overuse of subcontracting.",Student Living Wage Movement (late 1990s - mid 2000s),"August, 1998 to September, 1998",['United States'],"Syracuse, NY",Syracuse University,['Included Participation by More Than One Social Class'],['005. Declarations of indictment and intention'],,,"['002. Letters of opposition or support', '016. Picketing', '105. Establishment strike', '107. Sympathy strike']","['038. Marches', '047. Assemblies of protest or support', '050. Teach-ins', '105. Establishment strike', '107. Sympathy strike', '162. Sit-in', '172. Nonviolent obstruction']","['016. Picketing', '105. Establishment strike', '107. Sympathy strike']",,4 days,SEIU Local 200A.,Syracuse University Faculty members.,Cornell Organization for Labor Action.,Not known,Chancellor Kenneth Shaw.,Not known,Not known,The union reported that at some point during the week a supervisor drove through a picket line and hit a striking employee.,['Economic Justice'],['Defense'],"['Unionized food service workers', 'parking lot attendants', 'library assistants', 'janitors', 'and groundskeepers at Syracuse University.']",['SEIU Local 200A.'],,,['SU parents and faculty.'],"['SU students', 'Cornell Organization for Labor Action.']",,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,,https://nvdatabase.swarthmore.edu/content/syracuse-university-workers-strike-pay-equity-and-job-security-1998
Dream Nine campaign for immigrants' rights 2013,The Dream Nine wanted to return to their American homes.  The National Immigrant Youth Alliance wanted to capture media attention and change the United States' stance on illegal immigration.,,"22 July, 2013 to 7 August, 2013",['United States'],"Eloy, Arizona",Eloy detention center,['(Mainly or Initiated by) People of Color'],"['005. Declarations of indictment and intention', '006. Group or mass petitions', '015. Group lobbying', '038. Marches', ""071. Consumers' boycott"", '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['034. Vigils', '048. Protest meetings', ""071. Consumers' boycott"", '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['034. Vigils', '048. Protest meetings', ""071. Consumers' boycott"", '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['034. Vigils', '048. Protest meetings', ""071. Consumers' boycott"", '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['034. Vigils', '048. Protest meetings', ""071. Consumers' boycott"", '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['034. Vigils', '048. Protest meetings', ""071. Consumers' boycott"", '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['001. Public speeches', '002. Letters of opposition or support']",3 days,"The Dream Nine,",The National Immigrant Youth Alliance,Many additional people being held in detention joined the hunger strike of the Dream Nine in solidarity.,Congressman Luis Gutierrez plus 42 members of the U.S. Congress who wrote letters of support.,The United State Government,not known,No campaigner violence,"Two of the campaigners were held in solitary confinement, classified by the United Nations as torture, for around 15 days.",['Human Rights'],['Change'],['young adult undocumented mexican immigrants in the United States'],"['The Dream Nine', 'The National Immigrant Youth Alliance', 'Congressman Luis Gutierrez']",,,,,,4 out of 6 points,1 out of 1 points,2 out of 3 points,7 out of 10 points,"The Dream Nine were successful at least for the time being in returning to their homes.  The National Immigrant Youth Alliance was successful in bringing the Dream Nine to the attention of federal lawmakers as well as many different national media sources, and was partially successful in changing U.S. immigration policy, as the Dream Nine campaign helped to create a more viable route for deported undocumented immigrants to return to their American homes.",https://nvdatabase.swarthmore.edu/content/dream-nine-campaign-immigrants-rights-2013
"Black students, community, allies begin desegregating Jackson, Mississippi, 1962-1963","The campaign stated eight demands to the Jackson administration: desegregate all public facilities, including parks, playgrounds, and libraries; eventually desegregate all public schools; remove segregation signs from all public places; desegregate lunchrooms and lunch counters in downtown stores; hire blacks on the city police force; upgrade the salaries of black municipal workers; employ black crossing guards for school zones; and form a biracial committee.",U.S. Civil Rights Movement (1950s-1960s),"October, 1962 to 18 June, 1963",['United States'],"Jackson, Mississippi",,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'An Example of Paradox of Repression']","['010. Newspapers and journals', '061. Boycott of social affairs']","[""071. Consumers' boycott""]","['016. Picketing', ""071. Consumers' boycott""]","['016. Picketing', ""071. Consumers' boycott""]","['008. Banners, posters, and displayed communications', '016. Picketing', ""071. Consumers' boycott""]","['008. Banners, posters, and displayed communications', '011. Records, radio, and television', '016. Picketing', '034. Vigils', '037. Singing', '038. Marches', '045. Demonstrative funerals', '051. Walk-outs', ""071. Consumers' boycott"", '162. Sit-in', '167. Pray-in']",,6.5 weeks,"Medgar Evers
John Salter
Black Ministers of Jackson
National Association for the Advancement of Colored People (North Jackson Chapter)","Youth Council of the National Association for the Advancement of Colored People
National office, National Association for the Advancement of Colored People
Tougaloo College students
Tougaloo College Faculty
Lainer High School students
Brinkley High School students
Citizen's Committee for Human Rights in Jackson","Student Nonviolent Coordinating Committee
Congress on Racial Equality
Dr. Martin Luther King, Jr.","President John F. Kennedy
Attorney General Robert Kennedy
Lena Horne
Dick Gregory",Mayor Allen Thompson,Not known.,not known,"Police arrests over 500 campaigners.  Whites gathered to antagonize the students participating in the sit-ins with insults, spray paint, and condiments.  They also beat several students.  A gunman killed campaign initiator Medgar Evans.  Police beat Salter, Ed King, and other march participants.",['Human Rights'],['Change'],"['Black high school students', 'Middle class Black residents', 'black ministers', 'College students']","['North Jackson chapter of the National Association for the Advancement of Colored People Youth Council (NJYC)', 'North Jackson chapter of the National Association for the Advancement of Colored People']",,,['Black ministers of Jackson'],"['National Association for the Advancement of Colored People (National headquarters)', 'Brinkley High School students', 'Lainer High School Students', 'Congress on Racial Equality (CORE)', 'Student Nonviolent Coordinating Committee (SNCC)']","['Attorney General Robert Kennedy', 'President John F. Kennedy', 'Student Nonviolent Coordinating Committee (Exit) Lena Horne', 'Dick Gregory']",1 out of 6 points,1 out of 1 points,3 out of 3 points,5 out of 10 points,"The Mayor only agreed to three out of eight demands, two of which he agreed to before demonstrations began. The NAACP moved on to other Mississippi towns, focusing on black voter registration.",https://nvdatabase.swarthmore.edu/content/black-students-community-allies-begin-desegregating-jackson-mississippi-1962-1963
Rainforest Action Network forces Wells Fargo Bank to stop funding mountaintop removal coal mining 2005-2006,Pressure Wells Fargo Bank's to end its financial relationships and loans to companies that practice mountaintop removal coal mining.,,"14 July, 2005 to July, 2006",['United States'],"San Francisco, California",,,"['001. Public speeches', '002. Letters of opposition or support', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support']","['001. Public speeches', '002. Letters of opposition or support', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support']","['002. Letters of opposition or support', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support']",['002. Letters of opposition or support'],"['001. Public speeches', '002. Letters of opposition or support', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support']","['001. Public speeches', '002. Letters of opposition or support', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support']",,2 months,"Scott Parkin, Senior Campaigner on the Global Finance Campaign with RAN
Ilyse Hogue, campaigner with RAN",,,,Wells Fargo CEO Richard Kovacevich,,No campaigner violence.,No repressive violence.,"['Environment', 'Human Rights']",['Defense'],,,,,,,,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,"RAN successfully pressured Wells Fargo Bank to end its lending relationship with Massey Energy, gaining them a 6 for achieving their campaign goals. The campaigners maintained their infrastructure successfully and grew some to include several smaller groups who took on their own branch actions.",https://nvdatabase.swarthmore.edu/content/rainforest-action-network-forces-wells-fargo-bank-stop-funding-mountaintop-removal-coal-mini
University of Virginia Students Hunger Strike for a Living Wage for Staff 2012,"The hunger strikers wanted the University to institute a minimum wage for its employees and the employees of its contractors of $13 per hour before calculating benefits, indexed to yearly inflation.  The campaigners also demanded the creation of a Living Wage Oversight Board to monitor the University's treatment of its lowest paid workers.",,"February 17, 2012 to March 1, 2012",['United States'],"Charlottesville, Virginia",The University of Virginia Main Campus,"['(Mainly or Initiated by) Student Participants', 'Included Participation by More Than One Social Class']","['003. Declarations by organizations and institutions', '006. Group or mass petitions', '034. Vigils', '047. Assemblies of protest or support', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['034. Vigils', '047. Assemblies of protest or support', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['001. Public speeches', '009. Leaflets, pamphlets, and books', '021. Delivering symbolic objects', '034. Vigils', '047. Assemblies of protest or support', '050. Teach-ins', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['034. Vigils', '047. Assemblies of protest or support', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['034. Vigils', '047. Assemblies of protest or support', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['015. Group lobbying', '034. Vigils', '047. Assemblies of protest or support', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']",,2 and 1/6 days,"The University of Virginia Living Wage Campaign, David Flood",,"The Organization of African Students, Black President Council, United Sisters, Memorial for Enslaved Laborers committee, the Collegiate 100 Society, the National Pan-Hellenic Council, the Black Voices student group, and the Minority Rights Coalition, The College of William and Mary Living Wage Campaign",,"President Sullivan, the administration of the University of Virginia",not known.,no campaigner violence.,No repressive violence.,['Economic Justice'],['Change'],"['faculty', 'undergraduate students', 'graduate students', 'and staff at the University of Virginia']",['University of Virginia Living Wage Campaign'],,"['Black President Council', 'United Sisters', 'Memorial for Enslaved Laborers committee', 'the Collegiate 100 Society', 'the National Pan-Hellenic Council', 'the Black Voices student group', 'and the Minority Rights Coalition', 'the Organization of African Students']",,,['The College of William and Mary Living Wage Campaign'],2 out of 6 points,1 out of 1 points,2 out of 3 points,5 out of 10 points,"The campaigners were unsuccessful in their goal of having the University institute a wage of $13 dollars an hour before benefits indexed to inflation.  They were unsuccessful in having the University of Virginia create a Living Wage oversight board, but the University did create a parallel of the faculty budget advisory committee through the student council that would give students oversight and voice into the budget making process.",https://nvdatabase.swarthmore.edu/content/university-virginia-students-hunger-strike-living-wage-staff-2012
"Blacks in Huntsville, Alabama, sit in and win racial desegregation at lunch counters, 1962","Integrate lunch counters and public spaces in Huntsville, Alabama and form bi-racial committee.",U.S. Civil Rights Movement (1950s-1960s),"3 January, 1962 to 11 July, 1962",['United States'],"Huntsville, Alabama",,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'Included Participation by More Than One Social Class']",['162. Sit-in'],"['016. Picketing', '020. Prayer and worship', '037. Singing', '038. Marches', '162. Sit-in']","['001. Public speeches', '008. Banners, posters, and displayed communications', '016. Picketing', '020. Prayer and worship', '037. Singing', '038. Marches']","['008. Banners, posters, and displayed communications', '016. Picketing', '020. Prayer and worship', '037. Singing', '038. Marches', ""071. Consumers' boycott"", '162. Sit-in']","['008. Banners, posters, and displayed communications', '012. Skywriting and earthwriting', '016. Picketing', '037. Singing', '038. Marches', '162. Sit-in']","['016. Picketing', '162. Sit-in']",,1 month,"John Henry (Hank) Thomas
Community Service Committee
Dr. John Cashin
Dr. Sonnie Hereford III
Rev. Ezekiel Bell","CORE Members
Alabama Agricultural and Technical College
Oakwood College",White members of unions,"Dr. Martin Luther King, Jr.
James Lawson","Mayor Robert Searcy
Lunch Counter store owners",Not known.,Not known.,"Spraying demonstrators with mustard gas, arrests",['Human Rights'],['Change'],['African American Students and Elite African Americans'],"['Hank Thomas', 'Alabama Agricultural and Technical College Students', 'Community Service Committee', 'Core on Racial Equality']",,['Oakwook College Students'],,,,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,The Community Service Committee gained full integration and a bi-racial committee in a matter of months.,https://nvdatabase.swarthmore.edu/content/blacks-huntsville-alabama-sit-and-win-racial-desegregation-lunch-counters-1962
University of California Students Campaign Against Nuclear Weapons 2007,"The campaigners wanted the University of California Board of Regents to discuss the possibility of severing their contract with the nuclear labs the Los Alamos National Laboratory and the Lawrence Livermore National Laboratory, which the Board helped to manage.",,"May 9, 2007 to May 17, 2007",['United States'],California,"The campaign took place on the campuses of the University of California at Berkeley, the University of California at Santa Barbara, the University of California at Santa Clara, and the University of California at San Francisco.",['(Mainly or Initiated by) Student Participants'],"['050. Teach-ins', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '173. Nonviolent occupation']","['159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '173. Nonviolent occupation']","['159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '173. Nonviolent occupation']","['047. Assemblies of protest or support', '050. Teach-ins', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '173. Nonviolent occupation']","['159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '173. Nonviolent occupation']","['001. Public speeches', '137. Refusal of an assemblage or meeting to disperse', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '162. Sit-in', '173. Nonviolent occupation', '195. Seeking imprisonment']",['002. Letters of opposition or support'],1.5 days,The Coalition for the Demilitarization of the University of California,,"Chancellor of the University of California at Santa Barbara Henry Yang, Faculty and Staff of the University of California Santa Barbara",,The University of California Board of Regents,not known,not known,not known.,['Peace'],['Change'],['students'],,,,"['Chancellor Henry Yang', 'Faculty and Staff of the University of Santa Barbara']",,,0 out of 6 points,1 out of 1 points,2 out of 3 points,3 out of 10 points,"While the campaigners succeeded in generating support from other students, faculty, staff, and even some members of the board of regents, they were completely unsuccessful in accomplishing their goal.",https://nvdatabase.swarthmore.edu/content/university-california-students-campaign-against-nuclear-weapons-2007
"Black students sit-in for U.S. civil rights, Marshall, Texas, 1960",To desegregate lunch counters in downtown Marshall.,U.S. Civil Rights Movement (1950s-1960s),"26 March, 1960 to 3 April, 1960",['United States'],"Marshall, Texas",,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'An Example of Paradox of Repression']","['008. Banners, posters, and displayed communications', '037. Singing', '162. Sit-in']","['008. Banners, posters, and displayed communications', '037. Singing', '162. Sit-in']","['037. Singing', '162. Sit-in']","['037. Singing', '162. Sit-in']","['005. Declarations of indictment and intention', '016. Picketing', '162. Sit-in']",['003. Declarations by organizations and institutions'],,1.5 days,"Doxie Wilkerson
Roosevelt Peabody
John Rucker
George Holmes",National Association for the Advancement of Colored People,"Southern Christian Leaders Conference, Reverend Martin Luther King, Jr.",,Marshall City Council,"At some point, white citizens started a counter boycott against black businesses owners.",Not known.,"Verbal abuse, Water hoses turned on demonstrators, Spectators threatened to turn dogs on protesters, Communist accusations against a faculty member, College president fires faculty members connected to sit-ins.",['Human Rights'],['Change'],['African American College Students'],"['Wiley College Students', 'Bishop College Students']","['National Association for the Advancement of Colored People', 'some faculty members in Wiley College']",,,,,0 out of 6 points,1 out of 1 points,2 out of 3 points,3 out of 10 points,"At the end of the campaign, the city removed lunch counters from all stores and did not return them until the 1990's.",https://nvdatabase.swarthmore.edu/content/black-students-sit-us-civil-rights-marshall-texas-1960
"Kansas women protest anti-abortion advocate Governor Sam Brownback, 2012","To prevent the state legislature from passing any version of SB 62, and subsequently to prevent the governor of Kansas from signing House Substitute for SB 62 into law.",,,['United States'],"Topeka, Kansas",,"['(Mainly or Initiated by) Women', 'Included Innovative Organizational Forms/Communication Forms']","['005. Declarations of indictment and intention', '032. Taunting officials']",['005. Declarations of indictment and intention'],['005. Declarations of indictment and intention'],"['005. Declarations of indictment and intention', '038. Marches']","['005. Declarations of indictment and intention', '038. Marches', '057. Lysistratic nonaction']",['057. Lysistratic nonaction'],,10 days,"Group of OB/GYN doctors (names not known), local Kansas Occupy Wall Street solidarity protesters",Annette Maxberry-Carrara and the Texas organization Liberal Ladies Who Lunch,Not known,Not known,Governor Sam Brownback and anti-abortion supporters,Not known,No campaigner violence,Not known,['Human Rights'],['Change'],['Women'],"['Liberal Ladies Who Lunch', 'Kansas Occupy Wall Street solidarity protesters', 'group of OB/GYN doctors']",,,,,,0 out of 6 points,0 out of 1 points,2 out of 3 points,2 out of 10 points,,https://nvdatabase.swarthmore.edu/content/kansas-women-protest-anti-abortion-advocate-governor-sam-brownback-2012
"Alexandria citizens sit-in for library integration, 1939",Racially integrate the Alexandria Public Library and gain library services,,"21 Aug, 1939 to 21 Aug, 1939",['United States'],"Alexandria, Virginia",,['(Mainly or Initiated by) People of Color'],['162. Sit-in'],,,,,,,1 day,Samuel Wilbert Tucker,"William Evans
Edward Gaddis
Morris Murray
Otto Tucker
Clarence Strange",Not known,Not known,"Alexandria Library Staff, Alexandria City Council",Not known.,None.,Unlawful arrests,['National-Ethnic Identity'],['Change'],['African American men'],['Samuel Wilbert Tucker'],,,,,,3 out of 6 points,1 out of 1 points,2 out of 3 points,6 out of 10 points,The City Council kept Alexandria Library segregated and approved funding for a separate blacks-only library with unequal services compared to the main library.,https://nvdatabase.swarthmore.edu/content/alexandria-citizens-sit-library-integration-1939
KMPX San Francisco Radio Workers Strike 1968,"The goal of the workers was to acquire wage increases, a share in profits, the instatement of Tom Donahue and Melvin Milan as director of programming and director of sales respectively, that Paul Boucher should have complete control of engineering, that Harriet Blue should have complete control of traffic, that Harry Rogers, a company lawyer, should have no authority of any employees, that no employee should be discriminated against for union activity, that all employees be paid in full for time on strike, and that all of these conditions be agreed to on paper before the end of the strike.",,"March, 1968 to May, 1968",['United States'],"San Francisco, California",,['Included Participation by More Than One Social Class'],"['002. Letters of opposition or support', '003. Declarations by organizations and institutions', '009. Leaflets, pamphlets, and books', '011. Records, radio, and television', '016. Picketing', '047. Assemblies of protest or support', '105. Establishment strike', '107. Sympathy strike']","['016. Picketing', '047. Assemblies of protest or support', '105. Establishment strike', '107. Sympathy strike']","['016. Picketing', '105. Establishment strike', '107. Sympathy strike']","['016. Picketing', '105. Establishment strike', '107. Sympathy strike']","['016. Picketing', '105. Establishment strike', '107. Sympathy strike']","['016. Picketing', '105. Establishment strike', '107. Sympathy strike']","['002. Letters of opposition or support', '003. Declarations by organizations and institutions']",10 days,Radio Station KMPX staff,"Tom Donahue, radio station KPPC",Not known,"The Grateful Dead, other rock bands in the San Francisco area, The Rolling Stones",Leon Crosby,not known,not known,not known,['Economic Justice'],['Change'],['Radio Station workers'],"['KMPX workers', 'KPPC disc jockeys', 'local chapter of the National Association of Broadcast Engineers and Technicians', 'the American Federation of Television and Radio Artists', 'the National Maritime Union', 'the International Labor Workers Union']",,,,,,0 out of 6 points,1 out of 1 points,3 out of 3 points,4 out of 10 points,,https://nvdatabase.swarthmore.edu/content/kmpx-san-francisco-radio-workers-strike-1968
"Black high school students sit-in, desegregate public libraries in Danville, VA, 1960.",Black students called for desegregation of the Danville Public Library System.,U.S. Civil Rights Movement (1950s-1960s),"2 April, 1960 to 14 September, 1960",['United States'],"Danville, Virginia",,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color']","['162. Sit-in', '163. Stand-in']",,,,,,,5 weeks,"Robert Williams, Jr.
Chalmers Mebane, Jr.","Youth Council for the National Association for the Advancement of Colored People
National Association for the Advancement of Colored People (NAACP)",Committee for Public Libraries,,"Danville City Council, Danville Library Foundation",Not known.,Not known.,No repressive violence.,['Human Rights'],['Change'],['African American High School Students'],"['NAACP Youth Council Members', 'Danville Chapter of NAACP', 'John M. Langston High School students']",,['Committee for Public Libraries (enter)'],,,,5 out of 6 points,1 out of 1 points,2 out of 3 points,8 out of 10 points,"When the public libraries integrated, they functioned without tables and chairs and required all members to purchase an expensive new library card to have access. Students made no progress toward the desegregation of the public parks.",https://nvdatabase.swarthmore.edu/content/black-high-school-students-sit-desegregate-public-libraries-danville-va-1960
